"Gutting Bernd";;;"Der Einfluss der Besteuerung auf die Entwicklung der Wohnungs- und Baulandmärkte";;;;3.8204.9506.1;298;Druckerzeugnis;0;Haupt-Bibliothek;"AJ 336";Frankfurt;"Peter Lang";1986;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;found;;(DE-627)159421039
"Recktenwald Horst Claus";;;"Das Kapitalbudget in finanz- und volkswirtschaftlicher Sicht";;;;0;41;Druckerzeugnis;"Recht und Staat";Haupt-Bibliothek;"VB 107";Tübingen;"J.C.B. Mohr";1962;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-627)1075738253
"Dällenbach Jean-François";"Fiala Eduard";"Hagemann Susanne";"Die Dienstleistungsfunktion der Hochschulen";"Eine Entdeckungsreise";;;"Form 320.301d 1.87 A36093";325;Druckerzeugnis;0;Haupt-Bibliothek;"EF 174";Bern;EDMZ;1986;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;found;;(DE-627)013628941
"Maass Jürgen";;;"Die Flexibilität der Staatsausgaben";;;;3-531-02305-5;256;Druckerzeugnis;"Ein Beitrag zur Theorie der öffentlichen Ausgabenpolitik - Forschungsberichte des Landes Nordrhein-Westfalen Nr. 2305";Haupt-Bibliothek;"BF 112 2";Opladen;"Westdeutscher Verlag";1973;BF;YL2;;;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-602)kobvindex_ZLB12025791
"Elektrowatt AG";;;"Die Umweltbelastung im Energiebereich";;;;0;"55 + Anhang";Druckerzeugnis;0;Haupt-Bibliothek;"AG 306";;;1976;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-627)017748062
"Parsche Rüdiger";"Seidel Bernhard";;"Die Beseitigung von Steuergrenzen in der Europäischen Gemeinschaft";;;;3.428.06387.2;461;Druckerzeugnis;"Vorteile und Probleme einer Harmonisierung von Mehrwertsteuer und Verbrauchsteuern im europäischen Binnenmarkt";Haupt-Bibliothek;"AK 1200";Berlin;"Duncker & Humblot";1988;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";0;found;;(DE-627)1635741947
"Nitzan Shmuel";"Paroush Jacob";;"Collective Decision Making";;;;0-521-30326-5;125;Druckerzeugnis;"An Economic Outlook";Haupt-Bibliothek;"AK 1134";Cambridge;"Cambridge University Press";1985;YC;;;Wirtschaftswissenschaften;"Wirtschaftstheorie, einschliesslich Geldtheorie";0;found;;(DE-627)021392870
"Morandi Sandra";;;"Die Begrenzung der Steuerlast durch verfassungsrechtliche Bindungen des schweizerischen Steuergesetzgebers";;;;-;235;Druckerzeugnis;"Diss. Nr. 2070 der HSG";Haupt-Bibliothek;"JD 145";Bamberg;Difo-Druck;1997;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";0;found;;(DE-627)1132532507
"Walcher Frank";;;"Das Planungs- und Steuerungssystem der staatlichen Verkehrspolitik zur Regulierung der Verkehrsmärkte";;;;3.428.04183.6;176;Druckerzeugnis;"Zur Legitimation und Effizienz verkehrspolitischer Massnahmen in einer Marktwirtschaft";Haupt-Bibliothek;"AJ 271";Berlin;"Duncker & Humblot";1978;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";0;found;;(DE-627)011197838
"Hamermesh Daniel S.";;;"Subsidies for Jobs in the Private Sector";;;;0.8157.6892.3;87-122;Druckerzeugnis;"In: Palmer-John L. (Hrsg.): Creating Jobs - Public Employment Programs and Wage Subsidies";Haupt-Bibliothek;;Washington;"Brookings Institution";1978;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";0;found;;(DE-627)480190984
"Flechtheim Ossip K.";;;"Zeitschrift für Zukunftsforschung 'Futurum'";;;;0;102-;Druckerzeugnis;0;Haupt-Bibliothek;"VB 122";Meisenheim;"Anton Hain";1969;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";unsafe
"Strasser Daniel";;;"Die Finanzen Europas";;;;92.825.2746.8;415;Druckerzeugnis;0;Haupt-Bibliothek;"FB 132";Brüssel;EG;1982;YL5;YM;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Internationaler Handel. Zahlungsbilanz und Wechselkurse";"Finanzwirtschaft supranationaler Behörden";found;;(DE-627)310033373
"Schädler Reinhard";;;"Demokratische Tendenzen in der Pflege der Verwaltungswissenschaft";;;;"3 428 02637 3";159-179;Druckerzeugnis;"In: Knöpfle Franz- und diverse andere: Demokratie und Verwaltung";Haupt-Bibliothek;;Berlin;"Duncker & Humblot";;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";0;notfound
"Meier-Schatz Christian J.";"Forstmoser Peter";;"Die GmbH und ihre Reform";"Perspektiven aus der Praxis";;;"3 7255 4016 0";141;Druckerzeugnis;0;Haupt-Bibliothek;"WC 237";Zürich;Schulthess;2000;WC;;;"Uebrige Literatur";Privatrecht;0;found;;(DE-627)1616001119
"Pestalozzi Simone R.";;;"Die mehrwertsteuerliche Behandlung von Leistungen im Zusammenhang mit Telekommunikation";;;;-;222;Druckerzeugnis;"Dissertation Nr. 2361 der Universität St.Gallen, Hochschule für Wirtschafts-, Rechts- und Sozialwissenschaften (HSG), zur Erlangung der Würde einer Doktorin der Rechtswissenschaft";Haupt-Bibliothek;"QB 223 1";Bamberg;"Difo-Druck OHG";2000;QB;;;Verbrauchsteuern;Umsatzsteuer;0;found;;(DE-627)1154544206
;;;"Die neue Steuerpraxis (NStP)";"Aktuelle Nummer";;;0;0;Druckerzeugnis;"Monatsschrift für bernisches und eidgenössisches Steuerrecht";"Sekr. Steuerrecht";"Z 100";Bern;"Rub Media";aktuell;Z;;;Zeitschriften;0;0;ignore
"Lewis Wilfred J. R.";;;"Budget Concepts for Economic Analysis";;;;"0-8157-5237-7 paper 0-8157-5238-5 cloth";188;Druckerzeugnis;2.A.;Haupt-Bibliothek;"VB 118 3";Washington;"Brookings Institution";1972;YL2;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle";found;;(DE-627)1605087033
"Nasini Pietro";;;"Die Steuerpolitik der EWG-Kommission";;;;-;"Sep 19";Druckerzeugnis;"In: Deutsche Gesellschaft für Betriebswirtschaft, (Hrsg.): Besteuerung der Wirtschaft in der EWG - Praxis von heute und morgen. 3. A.";Haupt-Bibliothek;;;;;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";0;found;;(DE-627)480412138
