"Rotterdam Institute for Fiscal Studies";;;"International Tax Avoidance";;;;-;347;Druckerzeugnis;"Volume A: General and Conceptual Material";Haupt-Bibliothek;"LC 0406 1";Deventer;Kluwer;1979;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;notfound
"Centre d'études juridiques européennes de la faculté de droit de Genève";;;"Colloque l'entraide judiciaire internationale en matière pénale-civile-administrative et fiscale";;;;-;543;Druckerzeugnis;"Etudes suisses de droit européen, Vol. 30";Haupt-Bibliothek;"LC 0424";Genf;"Editions Georg";1986;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;notfound
OECD;;;"International Investment and Multinational Enterprises. Structure and Organisation of Multinational Enterprises";;;;-;59;Druckerzeugnis;0;Haupt-Bibliothek;"LC 0687";Paris;OECD;1987;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;found;;(DE-627)024206385
"Jacobi Heinz";;;"Der Anspruch des Steuerpflichtigen auf rechtliches Gehör im Besteuerungsverfahren.";;;;0;0;Druckerzeugnis;"Diss. Köln, in: 'Von der Auslegung und Anwendung der Steuergesetze', Felix Günter (Hrsg.), 1957, S. 302 ff.";Haupt-Bibliothek;;Stuttgart;"C. E. Poeschel";;JD;;;"Allgemeine Steuerrechtsliteratur";"Grundsätze der Rechtsanwendung";0;unsafe
"Weidmann Heinz";;;"Die Rechtsstellung des Pflichtigen im schweizerischen Steuerveranlagungsverfahren";;;;-;189;Druckerzeugnis;"Diss. der HSG Nr. 43";Haupt-Bibliothek;"MC 101";Zürich;"G. Schürch";1952;MC;;;"Verfahrensrecht und Steuerstrafrecht";Veranlagungsverfahren;0;found;;(DE-627)1170265057
"Agner Peter";"Jung Beat";"Steinmann Gotthard";"Kommentar zum Gesetz über die direkte Bundessteuer";"Ausgabe 1995";;;"3 7255 3284 2";777;Druckerzeugnis;0;"HB Steuerrecht";"JC 109 09.2";Zürich;Schulthess;1995;JC;;;"Allgemeine Steuerrechtsliteratur";"Schweizerische Kommentare und Handbücher";0;found;;(DE-627)1155052080
"Tax Management, Inc.";;;"A Multilingual Glossary of Tax and Financial Terms";;;;0;165;Druckerzeugnis;"Presented to the 29th Congress of the International Fiscal Association";"Sekr. Steuerrecht";"WD 916";Washington;"Tax Management Inc.";1975;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";0;notfound
"Saladin Peter";;;"Das Verwaltungsverfahrensrecht des Bundes";;;;"3 7190 0754 5";244;Druckerzeugnis;"Das Recht in Theorie und Praxis";Haupt-Bibliothek;"MA 114";Basel;"Helbing & Lichtenhahn";1979;MA;;;"Verfahrensrecht und Steuerstrafrecht";"Allgemeines Verfahrensrecht";0;found;;(DE-627)42535122X
"Blohm Hans";;;"Systemanalytischer Ansatz zur Formulierung einer komplexen Führungsgrösse-dargestellt am Beispiel der Steuerabteilung";;;;-;0;Druckerzeugnis;"in: Zur Besteuerung der Unternehmung, Festschrift für Peter Scherpf, S. 167 ff.";Haupt-Bibliothek;;;;;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-627)1433304619
"Flämig Christian";;;"Steuerprotest und Steuerberatung";;;;-;72;Druckerzeugnis;"Kölner Steuerthemen, Bd. 1";Haupt-Bibliothek;"MA 121";Köln;"Arbeitskreis für Steuerrecht";1979;MA;;;"Verfahrensrecht und Steuerstrafrecht";"Allgemeines Verfahrensrecht";0;found;;(DE-627)1101545038
"Beker Manfred";;;"Hinfällige Rechtsgeschäfte im Steuerrecht";;;;-;;Druckerzeugnis;"Steuerrecht im Rechtsstaat, Bd. 9";Haupt-Bibliothek;"ME 102";München;"C.H. Beck";1969;ME;;;"Verfahrensrecht und Steuerstrafrecht";"Revision rechtskräftiger Entscheidungen";0;found;;(DE-627)1072702681
"Elkuch Ivo";"Gassner Arthur";"Zurmühle Ralph";"VRP. St.Gallisches Gesetz über die Verwaltungsrechtspflege vom 16. Mai 1965";;;;0;660;Druckerzeugnis;0;Haupt-Bibliothek;"WB 233";Mauren;"GMG Juris Verlag";1993;WB;;;"Uebrige Literatur";"Oeffentliches Recht";0;found;;(DE-627)1350346349
"Koch Karl";;;"Handbuch für den steuerlichen Rechtsschutz. Rechtsbehelfe nach der Abgabenordnung-Finanzgerichtsordnung und dem Bundesverfassungsgerichtsgesetz";;;;-;360;Druckerzeugnis;"2. A.";Haupt-Bibliothek;"MD 105";Berlin;"Neue Wirtschafts-Briefe";1970;MD;;;"Verfahrensrecht und Steuerstrafrecht";Rechtsmittelverfahren;0;found;;(DE-627)1112547878
"Keiser Dagobert";;;"Die reformatio in peius in der Verwaltungsrechtspflege";;;;-;114;Druckerzeugnis;"Zürcher Studien zum öffentlichen Recht, Bd. 11";Haupt-Bibliothek;"MD 114";Zürich;Schulthess;1979;MD;;;"Verfahrensrecht und Steuerstrafrecht";Rechtsmittelverfahren;0;found;;(DE-627)1610597362
"Büchenbacher Christoph";;;"Tatsachen über das schweizerische Bankgeheimnis";;;;-;334;Druckerzeugnis;0;Haupt-Bibliothek;"MC 303";Zürich;"Nova Press";1977;MC;;;"Verfahrensrecht und Steuerstrafrecht";Veranlagungsverfahren;0;found;;(DE-604)BV021973876
"Tipke Klaus";;;"Steuerliche Betriebsprüfung im Rechtsstaat";;;;-;136;Druckerzeugnis;"Steuerrecht im Rechtsstaat. Wissenschaftliche Hefte zum Deutschen und Internationalen Steuerrecht, Heft 6";Haupt-Bibliothek;"MC 107";München;"C.H. Beck";1968;MC;;;"Verfahrensrecht und Steuerstrafrecht";Veranlagungsverfahren;0;found;;(DE-627)1072166305
"Mossu Claude";;;"Mesures contre la fraude fiscale";"Commentaire de la loi du 9 juin 1977 (modification de l'AIFD/AIN)";;;"3 7255 2215 4";355;Druckerzeugnis;0;Haupt-Bibliothek;"MJ 106";Zürich;Schulthess;1982;MJ;;;"Verfahrensrecht und Steuerstrafrecht";Steuerhinterziehung;0;found;;(DE-602)b3kat_BV005996056
"Streck Michael";;;"Der Eingriff der Steuerfahndung";;;;-;247;Druckerzeugnis;"Kölner Beratungsrichtlinien, Bd. 4, 3. A.";Haupt-Bibliothek;"MH 127";Köln;"Arbeitskreis für Steuerrecht";1983;MH;;;"Verfahrensrecht und Steuerstrafrecht";"Allgemeines Steuerstrafrecht";0;found;;(DE-605)HT013865615
"Bleuler Emil";;;"Die materielle Schlechterstellung als Sanktion für die Verletzung von Verfahrenspflichten im Steuereinschätzungsverfahren";;;;-;136;Druckerzeugnis;"Diss. der Uni Zürich";Haupt-Bibliothek;"MC 201";Schwyz;"M. Eberhardt";1952;MC;;;"Verfahrensrecht und Steuerstrafrecht";Veranlagungsverfahren;0;found;;(DE-627)432216227
"Diebold Urs";;;"Der illegale Steuerwiderstand";;;;0;233;Druckerzeugnis;"Diss. der Uni Freiburg Ue";Haupt-Bibliothek;"SD 102";Bern;CPZ;1984;SD;;;Steuerausweichung;Steuerwiderstand;0;found;;(DE-627)1101107596
"Margairaz André";"Merkli Roger";;"La fuite devant l'impôt et les contrôles du fisc";;;;-;154;Druckerzeugnis;0;Haupt-Bibliothek;"MH 118";Lausanne;"Imprimerie Vaudoise";1985;MH;;;"Verfahrensrecht und Steuerstrafrecht";"Allgemeines Steuerstrafrecht";0;notfound
"König J.";;;"17 Schaubilder zum Steuerstraf- und Steuerordnungswidrigkeitenrecht-zugleich zum Zollstrafrecht";;;;-;;Druckerzeugnis;"Optisches Steuerrecht, Heft 6";Haupt-Bibliothek;"MH 109";Berlin;"Neue Wirtschafts-Briefe";1971;MH;;;"Verfahrensrecht und Steuerstrafrecht";"Allgemeines Steuerstrafrecht";0;found;;(DE-101)740305956
"Freiherr von Canstein Raban";;;"Der Erstattungsanspruch im Steuerrecht";;;;-;151;Druckerzeugnis;"Schriftenreihe des Instituts für Steuerrecht der Univ. Köln, Bd. 56";Haupt-Bibliothek;"MF 201";Düsseldorf;"Verlagsbuchhandlung des Instituts der Wirtschaftsprüfer";1966;MF;;;"Verfahrensrecht und Steuerstrafrecht";Steuerbezug;0;notfound
"Zweifel Martin";"Athanas Peter";;"Kommentar zum schweizerischen Steuerrecht";"Bd. I/1";"Bundesgesetz über die Harmonisierung der direkten Steuern der Kantone und Gemeinden (StHG)";;3-7190-1583-1;825;Druckerzeugnis;0;Haupt-Bibliothek;"JC 302 1";Basel;"Helbing & Lichtenhahn";1997;JC;;;"Allgemeine Steuerrechtsliteratur";"Schweizerische Kommentare und Handbücher";0;found;;(DE-605)TT002826736
"Brenner Otto";;;"Konjunkturpolitik und öffentliche Unternehmen";;;;0;2;Druckerzeugnis;"'Die öffentliche Wirtschaft', 4/70, 134";Separata;"EF Sep. 19";;;;YL7;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";notfound
"Milde Hellmuth";"Monissen Hans G.";;"Rationale Wirtschaftspolitik in komplexen Gesellschaften";;;;3-17-008828-9;492;Druckerzeugnis;"Gérard Gäfgen zum 60. Geburtstag";Haupt-Bibliothek;"AA 174";Stuttgart;"W. Kohlhammer";1985;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";0;found;;(DE-627)272445487
"Stromsdorfer Ernst W.";"Farkas Georges";;"Evaluation Studies Review Annual";"Vol. 5";;;0;0;Druckerzeugnis;"Part II: Labor Force Programs: Designed Experiments";Haupt-Bibliothek;"TD 200";"Beverly Hills";Sage;1980;TD;;;"Finanz- und Steuerpolitik (Finanzreform)";Ausland;0;notfound
"Zottman Anton";;;"Handwörterbuch der Wirtschaftswissenschaft (HdWW)-Registerband";;;;3-525-10261-5;312;Druckerzeugnis;"zugleich Neuauflage des Handwörterbuchs der Sozialwissenschaften";Haupt-Bibliothek;"YB 004";Stuttgart;"Gustav Fischer";1983;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";0;found;;(DE-627)229317111
"Hofmann Jean-Samuel";"Fontaine Pierre François";;"Recueil de textes en matière fiscale";;;;"3 7255 4730 0";546;Druckerzeugnis;"Hrsg. von Xavier Oberson und Yves Noël";Haupt-Bibliothek;"HA 301 1";Genf;Schulthess;2004;HA;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Steuergesetzgebung (Bund, einzelne Kantone)";0;found;;(DE-627)1611564573
;;;"International VAT Monitor 1999 ff.";;;;-;;Online-Publikation;"http://www.ibfd.org/ 'Tax Research Platform' anklicken und dann einloggen (auf 'Log on')";Internet;"Z 170";Amsterdam;IBFD;online;Z;;;Zeitschriften;0;0;ignore
IFA;;;"Yearbook 2000";;;;-;"176 (+ Members)";Druckerzeugnis;0;Haupt-Bibliothek;"LC 0302";Rotterdam;IFA;2001;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;ignore
IFA;;;"Cahiers de Droit Fiscal International";"Vol. 89a (2004)";;;90-6476-093-4;766;Druckerzeugnis;"Doppelte Nichtbesteuerung";Haupt-Bibliothek;"LC 0301 089.1";Rotterdam;"Sdu Fiscale & Financiele Uitgevers";2004;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;ignore
"Staatskanzlei St. Gallen";;;"St. Gallische Gerichts- und Verwaltungspraxis (SG GVP) 2001";;;;0;249;Druckerzeugnis;H;Haupt-Bibliothek;"HB 217";"St. Gallen";Staatskanzlei;2002;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Staatskanzlei St. Gallen";;;"St. Gallische Gerichts- und Verwaltungspraxis (SG GVP)";"Register 1991-2000";;;-;150;Druckerzeugnis;"Hrsg. von der Staatskanzlei St. Gallen 2001";Haupt-Bibliothek;"HB 217 1 Reg.";"St. Gallen";Staatskanzlei;2001;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Staatskanzlei St. Gallen";;;"St. Gallische Gerichts- und Verwaltungspraxis (SG GVP) 1985";;;;0;184;Druckerzeugnis;"Im Auftrag des Regierungsrates, des Kantonsgerichtes und des Verwaltungsgerichtes- hrsg. von der Staatskanzlei St. Gallen 1986";Haupt-Bibliothek;"HB 217";"St. Gallen";Staatskanzlei;1986;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Steuergericht des Kantons Solothurn";;;"Grundsätzliche Entscheide des Steuergerichts 2002";;;;0;67;Druckerzeugnis;KSGE;Haupt-Bibliothek;"HB 211";Solothurn;Drucksachenverwaltung/Lehrmittelverlag;2003;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;notfound
"Müller Jeanette";;;"Der Praxisratgeber zu den bilateralen Abkommen I Schweiz-EU";;;;3-906355-92-6;96;Druckerzeugnis;"Hat Ihr Unternehmen an alles gedacht? Nutzen Sie die Vorteile? - Tipps für Ihr Tagesgeschäft!";Haupt-Bibliothek;"WB 323";Zürich;Handelskammer;2004;WB;;;"Uebrige Literatur";"Oeffentliches Recht";0;found;;(DE-101)971731322
"Weidmann Heinz";;;"Neuer Anlauf zu einem einheitlichen schweizerischen Steuergesetz";;;;0;3;Druckerzeugnis;0;Separata;"TA Sep. 30";Basel;"Schweizerische Treuhandgesellschaft";1968;TA;;;"Finanz- und Steuerpolitik (Finanzreform)";Bund;0;notfound
"Haller Heinz";;;"Steuerreform und Wirtschaftsordnung";;;;0;113;Druckerzeugnis;"Sonderdruck aus Bitburger Gespräche Jahrbuch 1972/73, A, Nr. 43, Wirtschaftswissenschaftliches Institut der Uni Zürich";Haupt-Bibliothek;"TA 175";Zürich;"Wirtschaftswissenschaftliches Institut der Universität Zürich";1973;TA;;;"Finanz- und Steuerpolitik (Finanzreform)";Bund;0;unsafe
"Informationsstelle für Steuerfragen";;;"Bundesfinanzordnung Orientierung-Dokumentation";;;;0;66;Druckerzeugnis;0;Separata;"TA Sep. 40";Bern;;1971;TA;;;"Finanz- und Steuerpolitik (Finanzreform)";Bund;0;notfound
"Ueberwasser Heinrich";;;"Das Kollgeialprinzip Seine Grundsätze und Konkretisierungen im Bereich von Regierung und Verwaltung unter besonderer Berücksichtigung des schweizerischen Bundesrates";;;;0;185;Druckerzeugnis;"Basler Studien zur Rechtswissenschaft, Reihe B, Bd. 25";Haupt-Bibliothek;"WB 152";Basel;"Helbing & Lichtenhahn";1989;WB;;;"Uebrige Literatur";"Oeffentliches Recht";0;notfound
"Klöti-Weber Marianne";"Siegrist Dave";"Weber Dieter";"Kommentar zum Aargauer Steuergesetz";"Bd. 2";;;3-85621-082-2;2098;Druckerzeugnis;"2. A., Bd. 2: §§ 112 bis 276";Haupt-Bibliothek;"JC 224 2.2";Muri;Cosmos;2004;JC;;;"Allgemeine Steuerrechtsliteratur";"Schweizerische Kommentare und Handbücher";0;found;;(DE-627)366248839
"Meyer Conrad";;;"Betriebswirtschaftliches Rechnungswesen";;;;"3 7255 3466 7";323;Druckerzeugnis;"Einführung in Wesen, Technik und Bedeutung des modernen Management Accounting 2. A.";Haupt-Bibliothek;"WA 290 2.1";Zürich;Schulthess;1996;YP;;;Wirtschaftswissenschaften;"Allgemeine Betriebswirtschaftslehre";0;found;;(DE-627)212327003
"Margairaz André";;;"La fraude fiscale et ses succédanés";;;;-;;Druckerzeugnis;0;Haupt-Bibliothek;"MH 110 2";Lausanne;"Imprimerie Vaudoise";1971;MH;;;"Verfahrensrecht und Steuerstrafrecht";"Allgemeines Steuerstrafrecht";0;found;;(DE-627)1136132759
"Hermani Ulrich Peter";;;"Sanierung der öffentlichen Haushalte";"Perspektiven bis 1979";;;0;64;Druckerzeugnis;"Beiträge zur Wirtschafts- und Sozialpolitik, Institut der deutschen Wirtschaft 35";Haupt-Bibliothek;"UC 117";Köln;"Deutscher Instituts-Verlag";1976;YL4;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Finanzausgleich;found;;(DE-603)033254001
"Samuelson Paul A.";;;"Pure Theory of Public Expenditure and Taxation";;;;0;0;Druckerzeugnis;"in: Public Economics, ed. by J. Margolis";Haupt-Bibliothek;;London;Macmillan;1969;YB;;;Wirtschaftswissenschaften;"Allgemeines. Methoden der W. Unterrichts- und Ausbildungsmethoden in den W., Wirtschaftspädagogik";0;found;;(DE-627)486091031
"Strickrodt Georg";;;"Die Finanzverfassung des Bundes als politisches Problem";;;;-;49;Druckerzeugnis;"Schriftenreihe der Hochschule Speyer, Bd. 6";Haupt-Bibliothek;"TD 140";Tübingen;"J.C.B. Mohr";1951;TD;;;"Finanz- und Steuerpolitik (Finanzreform)";Ausland;0;found;;(DE-627)1077184514
"Letsch Hans";;;"Steuerstaat Schweiz";;;;0;0;Druckerzeugnis;Referat;Separata;"TA Sep. 66";Muttenz;;1986;TA;;;"Finanz- und Steuerpolitik (Finanzreform)";Bund;0;unsafe
"Fredersdorf Hermann";;;"Reform des Steuersystems is unumgänglich";;;;0;7;Druckerzeugnis;0;Separata;"TD Sep. 07";Hamburg;Wirtschaftsdienst;1969;TD;;;"Finanz- und Steuerpolitik (Finanzreform)";Ausland;0;notfound
IBFD;;;"Central & East European Tax Directory 1999";;;;90-76078-26-2;113;Druckerzeugnis;"6. A.";Haupt-Bibliothek;"KH 124 3";Amsterdam;IBFD;1999;KH;;;"Ausländisches Steuerrecht";"Uebriges Europa";0;ignore
IFF;;;"IFF Forum für Steuerrecht (FStR) 2001";;;;1424-9855;0;Druckerzeugnis;0;"HB Steuerrecht";"Z 150 2";"St. Gallen";"Institut für Finanzwirtschaft und Finanzrecht an der Universität St. Gallen";2001;Z;;;Zeitschriften;0;0;ignore
;;;"Internationales Steuerrecht (iStR) 2011";;;;0942-6744;1090;Druckerzeugnis;"Zeitschrift für europäische und internationale Steuer- und Wirtschaftsberatung";"HB Steuerrecht";"Z 180";München;"C.H. Beck";2011;Z;;;Zeitschriften;0;0;ignore
"Ernst & Young";;;"Worldwide Executive Tax Guide 2000";;;;-;575;Druckerzeugnis;0;Haupt-Bibliothek;"PC 157";"New York";"Ernst & Young International";1999;PC;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommensteuer allgemein";0;found;;(DE-627)353649570
IBFD;;;"Annual Report 2002";2003;;;0;134;Druckerzeugnis;"Including Worldwide Survey of Trends and Developments in Taxation";Haupt-Bibliothek;"KA 359";Amsterdam;IBFD;2003;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";0;ignore
;;;"Steuersystem. Steuerverwaltung";;;;0;0;Druckerzeugnis;"Sonderausgabe der Verwaltungspraxis (VP)";Separata;"TA Sep. 70";Solothurn;"Union Druck + Verlag";1967;TA;;;"Finanz- und Steuerpolitik (Finanzreform)";Bund;0;notfound
"Höhn Ernst";"Waldburger Robert";;"Steuerrecht (8. A.)";"Bd. II";;;3-258-05669-2;1111;Druckerzeugnis;"Band II: Steuern bei Vermögen, Erwerbstätigkeit, Unternehmen, Vorsorge, Versicherung / Interkantonales und Internationales Steuerrecht / Steuerverfahrens- und Steuerstrafrecht";Haupt-Bibliothek;"JA 118 8.2.2";Bern;"Paul Haupt";1999;JA;;;"Allgemeine Steuerrechtsliteratur";"Allgemeines, Lehrbücher";0;found;;(DE-627)1140734210
"Federmann Rudolf";;;"Bilanzierung nach Handelsrecht und Steuerrecht";;;;"3 503 05849 4";510;Druckerzeugnis;"Gemeinsamkeiten, Unterschiede und Abhängigkeiten von Handels- und Steuerbilanz unter Berücksichtigung internationaler Rechnungslegungsstandards 11. A.";Haupt-Bibliothek;"PE 0367 2";Berlin;"Erich Schmidt";2000;PE;;;"Einkommen- und Vermögensteuern, Ertrag- und Kapitalsteuern";"Einkommen Selbständigerwerbender, Unternehmungsbesteuerung";0;found;;(DE-602)b3kat_BV013361029
"Roberto Vito";;;"Sanierung der AG";;;;"3 7255 4673 8";220;Druckerzeugnis;"Ausgewählte Rechtsfragen für die Unternehmenspraxis. Mit Beiträgen von Vito Roberto, Lukas Glanzmann, Markus Affentranger, Marcel Giger, Thomas Geiser, Peter Athanas, Christoph Suter. Schriften zum neuen Aktienrecht- Band 17, 2. A.";"HB Steuerrecht";"WC 322";Zürich;Schulthess;2003;WC;;;"Uebrige Literatur";Privatrecht;0;found;;(DE-627)1608925838
"Schaltegger Christoph A.";;;"Flat Tax";"ein Modell für die Schweiz?";;;-;7;Druckerzeugnis;"zusammengebunden mit Daepp Martin/Schaltegger Christoph A., Moderne Steuersysteme - Grundfragen und Reformvorschläge";Haupt-Bibliothek;;Bern;"Eidgenössische Steuerverwaltung";;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";notfound
"Scharpf Fritz W.";;;"Politische Durchsetzbarkeit innerer Reformen";;;;0;138;Druckerzeugnis;"Kommission für wirtschaftlichen und sozialen Wandel, Bd. 28";Haupt-Bibliothek;"TD 152";Göttingen;"Otto Schwartz";1974;TD;;;"Finanz- und Steuerpolitik (Finanzreform)";Ausland;0;found;;(DE-627)122576926
"Isler Eugen";;;"Rationalisierungsmöglichkeiten im schweizerischen Steuerwesen";;;;0;9;Druckerzeugnis;0;Separata;"TA Sep. 30";Basel;"Schweizerische Treuhandgesellschaft";1968;TA;;;"Finanz- und Steuerpolitik (Finanzreform)";Bund;0;found;;(DE-627)387349464
"Locher Peter";;;"Introduzione al diritto fiscale intercantonale";;;;88-7595-014-8;230;Druckerzeugnis;"con riferimento alla legge federale sull'armonizzazione fiscale ed a quelle tributarie cantonali bernese e ticinese - 2a ed. Originaltitel: Einführung in das interkantonale Steuerrecht - Unter Berücksichtigung des Steuerharmonisierungs- und des bernischen sowie des tessinischen Steuergesetzes - 3. A., Bern 2009";Haupt-Bibliothek;"LB 117";Lugano;SUPSI;2010;LB;;;"Interkantonales/Internationales Steuerrecht";"Interkantonales Steuerrecht";0;found;;(DE-604)BV039648592
;;;"Zuger Steuer Praxis 2012";;;;-;;Druckerzeugnis;0;"HB Steuerrecht";"Z 380";Zug;Speck;2012;Z;;;Zeitschriften;0;0;ignore
"Vallender Klaus A.";"Jacobs Reto";;"Ökologische Steuerreform";;;;3-258-06255-2;243;Druckerzeugnis;"Rechtliche Grundlagen";Haupt-Bibliothek;"JA 152 3";Bern;"Paul Haupt";2000;JA;;;"Allgemeine Steuerrechtsliteratur";"Allgemeines, Lehrbücher";0;found;;(DE-627)31850653X
"Fach Wolfgang";;;"Wirkungen einer Steuerharmonisierung von Produktionssteuern auf die Allokation der Ressourcen eines gemeinsamen Wirtschaftsraumes";;;;0;244;Druckerzeugnis;"Dissertation, Wirtschaftswiss. Fakultät Justus-Liebig-Universität Giessen,";Haupt-Bibliothek;"TE 101";München;Offset;1974;TE;;;"Finanz- und Steuerpolitik (Finanzreform)";Steuerharmonisierung;0;found;;(DE-627)391088866
"Vögele Alexander";"Borstell Thomas";"Engler Gerhard";"Handbuch der Verrechnungspreise";;;;3-406-48328-3;2337;Druckerzeugnis;"Betriebswirtschaft, Steuerrecht, OECD- und US-Verrechnungspreisrichtlinien- 2. A.";Haupt-Bibliothek;"LC 0614 2";München;"C.H. Beck";2004;LC;;;"Interkantonales/Internationales Steuerrecht";"Internationales Steuerrecht";0;found;;(DE-627)356479463
"Stamm Friedrich H.";;;"Die Bundesfinanzen der Vereinigten Staaten von Amerika";;;;0;255;Druckerzeugnis;"Entwicklung und gegenwärtiger Stand";Haupt-Bibliothek;"TD 132";Stuttgart;"Gustav Fischer";1969;TD;;;"Finanz- und Steuerpolitik (Finanzreform)";Ausland;0;found;;(DE-627)1071785265
IFSt;;;"IFSt-Brief 234";;;;-;31;Druckerzeugnis;0;Haupt-Bibliothek;"Z 153 234";Bonn;"Institut Finanzen und Steuern";1984;Z;;;Zeitschriften;0;0;ignore
;;;"Rivista di diritto amministrativo e tributario ticinese 2003";"Vol. II";;;0;0;Druckerzeugnis;0;"HB Steuerrecht";"Z 260";Bellinzona;"Departementi dell'interno e delle finanze";2003;Z;;;Zeitschriften;0;0;ignore
;;;"Rivista di diritto amministrativo e tributario ticinese 1997";"Vol. II";;;0;0;Druckerzeugnis;0;"HB Steuerrecht";"Z 260";Bellinzona;"Departementi dell'interno e delle finanze";1997;Z;;;Zeitschriften;0;0;ignore
;;;"Rivista di diritto amministrativo e tributario ticinese 1994";"Vol. II";;;0;0;Druckerzeugnis;0;"HB Steuerrecht";"Z 260";Bellinzona;"Departementi dell'interno e delle finanze";1994;Z;;;Zeitschriften;0;0;ignore
;;;"Rivista di diritto amministrativo e tributario ticinese 1988-90";;;;0;0;Druckerzeugnis;0;"HB Steuerrecht";"Z 260";Bellinzona;"Cancelleria delllo Stato, Bellinzona";1990;Z;;;Zeitschriften;0;0;ignore
"Staatskanzlei Luzern";;;"Luzerner Gerichts- und Verwaltungsentscheide (LGVE) 1981";;;;-;335;Druckerzeugnis;"II. Teil - Verwaltungsgericht";Haupt-Bibliothek;"HB 203 3";Luzern;;1982;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Kanton Luzern";;;"Entscheide der Steuerrekurskommission des Kantons Luzern 1951-1952";;;;-;140;Druckerzeugnis;0;Haupt-Bibliothek;"HB 203 2";Luzern;;1953;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Kanton Luzern";;;"Entscheide der Steuerrekurskommission des Kantons Luzern 1965-1966";;;;-;72;Druckerzeugnis;0;Haupt-Bibliothek;"HB 203 2";Luzern;;1967;HB;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Judikatur, Entscheidungssammlungen (Bund, einzelne Kantone)";0;ignore
"Hinnendahl Jürgen";;;"Die Steuerverteilung zwischen Bund und Ländern in der BRD";;;;0;228;Druckerzeugnis;"Schriften zur öffentlichen Verwaltuing und öffentlichen Wirtschaft, Bd. 3";Haupt-Bibliothek;"UE 110";Baden-Baden;Nomos;1974;YL4;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";Finanzausgleich;notfound
"Staatskanzlei St. Gallen";;;"Gesetzessammlung Neue Reihe";"Bd. 4 (1966)";;;-;503;Druckerzeugnis;0;Haupt-Bibliothek;"HA 217 2.4";"St. Gallen";Staatskanzlei;1967;HA;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Steuergesetzgebung (Bund, einzelne Kantone)";0;ignore
"Staatskanzlei St. Gallen";;;"Bereinigte Gesetzessammlung";"Bd. 3";;;-;554;Druckerzeugnis;"Am 1. Januar 1956 in Kraft stehende Kantonale Erlasse";Haupt-Bibliothek;"HA 217 1.3";"St. Gallen";Staatskanzlei;1956;HA;;;"Schweizerische Steuer-Gesetzgebung und -Judikatur";"Steuergesetzgebung (Bund, einzelne Kantone)";0;ignore
