"Georgi Hanspeter";"Cost-benefit-analysis als Lenkungsinstrument öffentlicher Investitionen im Verkehr";;226;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"BG 113";Göttingen;"Vandenhoeck & Ruprecht";1970;;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";export;0991169;279337175
"Schweiz. Nationalbank";Aufgaben-Instrumente-Organisation;;29;Druckerzeugnis;"05.12.2003 08:19";;Separata;"AK Sep. 433";Zürich;"Schweiz. Nationalbank";1983;;YR;;;Wirtschaftswissenschaften;"Gewerbepolitik. Einzelne Wirtschaftszweige";;export;0991178;29612608X
"Oswald Hans";"Die ausländischen Direktinvestitionen in der Industrialisierungspolitik des Andenpaktes";;"225 + Anhang";Druckerzeugnis;06.09.2004;"Dissertation der HSG, Nr. 644, 1977";Haupt-Bibliothek;"AK 0536";Diessenhofen;"Verlag Rüegger CH";1977;;YM;;;Wirtschaftswissenschaften;"Internationaler Handel. Zahlungsbilanz und Wechselkurse";;export;0991185;403750482
"Merz Dominique";"Hochschulwesen: Wer finanziert wem die Ausbildung?";3.7190.1040.6;277-308;Druckerzeugnis;"05.12.2003 08:19";"In: Frey René/Leu Robert (Hrsg.): Der Sozialstaat unter der Lupe";Haupt-Bibliothek;-;Basel/Frankfurt;"Helbing & Lichtenhahn";1988;;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";;export;0991186;350276234
"Lüthy Herbert";"Die Mathematisierung der Sozialwissenschaften";;18;Druckerzeugnis;20.04.2004;"Festrede am Hochschultag der Hochschule St. Gallen";Separata;"WD Sep. 06";"St. Gallen";;1968;;WD;;;"Uebrige Literatur";"Diverse Gebiete, Umweltschutz";;export;0991190;092714285
"Fritzsche Bruno W.";"Die Schweiz zwischen Tradition und Fortschritt";;10;Druckerzeugnis;"05.12.2003 08:19";"Das Problem der Überfremdung aus der Sicht des Historikers";Separata;"AG Sep. 17";Zürich;"Gesellschaft zur Förderung der schweizerischen Wirtschaft";1969;;YN;;;Wirtschaftswissenschaften;"Konjunkturschwankungen, Stabilitätspolitik";;export;0991193;270159258
"Maass Jürgen";"Die Flexibilität der Staatsausgaben";3-531-02305-5;274;Druckerzeugnis;"05.12.2003 08:19";"Ein Beitrag zur Theorie der öffentlichen Ausgabenpolitik - Forschungsberichte des Landes Nordrhein-Westfalen Nr. 2305";Haupt-Bibliothek;"BF 112 1";Opladen;"Westdeutscher Verlag";1973;;YL7;YL2;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Haushaltsaufstellung, -verwaltung und -kontrolle";export;0991195;28329518X
"Klöti Ulrich";"Die Chefbeamten der schweizerischen Bundesverwaltung";;214;Druckerzeugnis;04.11.2004;"Sozioligische Querschnitte in den Jahren 1938, 1955 und 1969";Haupt-Bibliothek;"WA 305";Bern;"Francke Verlag";1972;;YP;;;Wirtschaftswissenschaften;"Allgemeine Betriebswirtschaftslehre";;export;0991197;278348998
"Pressekomitee für Fiskalfragen";"Die kalte Progression";;107;Druckerzeugnis;"05.12.2003 08:19";"Tagung vom 19.10.82";Haupt-Bibliothek;"CE 122";Bern;"Informationsstelle für Steuerfragen";1982;;YL7;YL8;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder";export;0991198;292244126
"Pettengill Robert B.";"Can cities survive?";"Library of Congress Catalog Card Number: 72-95903";150;Druckerzeugnis;10.09.2003;"The Fisical Plight of American Cities";Haupt-Bibliothek;"EC 120";"New York";"St.Martin's Press";1974;;YL3;YQ;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre-	Spezielle Betriebswirtschaftslehren";"Finanzwirtschaft untergeordneter Gebietskörperschaften";export;0991200;078686415
"Deutsche Gesellschaft für Betriebswirtschaft";"Besteuerung der Wirtschaft in der EWG - Praxis von heute und morgen";;163;Druckerzeugnis;"05.12.2003 08:19";"3. A.";Haupt-Bibliothek;"KA 115";Berlin;"Deutsche Gesellschaft für Betriebswirtschaft";1972;;KA;;;"Ausländisches Steuerrecht";"Staatenverbände, Staatengruppen";;export;0991202;083222596
"Stadie Holger";"UStG: Kommentar";978-3-504-24327-2;1396;Druckerzeugnis;"29.07.2011 18:24";"1. A.";"HB Steuerrecht";"QB 379";Köln;"Otto Schmidt Verlag";2009;;QB;;;Verbrauchsteuern;Umsatzsteuer;;export;0991205;292450508
"Jucker W.";"Arbeitsmarkt und Integration";;10;Druckerzeugnis;06.09.2004;;Separata;"AK Sep. 314";;;1968;;YM;;;Wirtschaftswissenschaften;"Internationaler Handel. Zahlungsbilanz und Wechselkurse";;export;0991206;176092137
"Kroll Rüdiger";"Das Leistungsziel als Verhaltensdeterminante von Bankunternehmungen der öffentlichen Hand";;175;Druckerzeugnis;"05.12.2003 08:19";"Betriebswirtschaftliche Forschungsergebnisse Bd 38";Haupt-Bibliothek;"EF 124";Berlin;"Duncker & Humblot";1968;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;export;0991208;172946158
"Kommission für die Überprüfung der strukturellen Gliederung des Kantons Zürich";"Der organisatorische Neubau des Kantons Zürich";;254;Druckerzeugnis;"05.12.2003 08:19";"Schlussbericht der Kommission für die Überprüfung der strukturellen Gliederung des Kantons Zürich";Haupt-Bibliothek;"AJ 272";;Offset;1977;;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;export;0991218;294400974
"Staringer Claus";"Besteuerung doppelt ansässiger Kapitalgesellschaften";3-85122-940-1;462;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"KD 115";Wien;"Linde Verlag Ges.m.b.H.";1999;;KD;;;"Ausländisches Steuerrecht";Oesterreich;;reimport;0991219;32419238X
"Wechsler Martin";"Berufliche Altersvorsorge: Für welche Versicherten ist das BVG ein gutes Geschäft?";3.7190.1040.6;235-248;Druckerzeugnis;"05.12.2003 08:19";"In: Frey René/Leu Robert (Hrsg.): Der Sozialstaat unter der Lupe";Haupt-Bibliothek;-;Basel/Frankfurt;"Helbing & Lichtenhahn";1988;;YX;;;Wirtschaftswissenschaften;"Sozialpolitik. Gesundheitswesen. Bildungsökonomie";;export;0991222;350401985
