"Eberle Rudolf";"Besteuerung und Finanzvermögen";3.8204.8095.1;285;Druckerzeugnis;10.09.2003;"Die Wirkungen der direkten Besteuerung auf Entstehung und Dispositionen von Finanzvermögen";Haupt-Bibliothek;"CA 229";Frankfurt;"Peter Lang";1985;;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";"hsg duplicate";0991277;0204764
"Naumann Jörg";"Der Einfluss von Interessengruppen auf die wirtschaftspolitische Willensbildung und Weichenstellung Eine Untersuchung (nicht nur) für die Schweiz";;143;Druckerzeugnis;"05.12.2003 08:19";"Dissertation der Universität Zürich, 1984";Haupt-Bibliothek;"AK 0459";;Vervielfältigung;1984;;YR;;;Wirtschaftswissenschaften;"Gewerbepolitik. Einzelne Wirtschaftszweige";;"hsg duplicate";0991279;0201674
"Baudenbacher Carl";"Aktuelle Probleme des Europäischen und internationalen Wirtschaftsrechts";3.472.03486.6;562;Druckerzeugnis;"05.12.2003 08:19";"Band I";Haupt-Bibliothek;"WC 231 1";"Neuwied, Kriftel";"Hermann Luchterhand Verlag GmbH";1998;;WC;;;"Uebrige Literatur";Privatrecht;;"hsg duplicate";0991280;0165698;"Band I"
"Keun Friedrich";"Die optimale Infrastrukturausstattung einer Region unter Berücksichtigung dynamischer Aspekte";;130;Druckerzeugnis;"05.12.2003 08:19";"dargestellt am Beispiel sozialer Infrastruktureinrichtungen zentraler Orte in ländlichen Räumen";Haupt-Bibliothek;"AJ 230";Göttingen;"Vandenhoeck & Ruprecht";1973;;YY;;;Wirtschaftswissenschaften;"Regionale Wirtschaftspolitik. Stadtplanung";;"hsg duplicate";0991283;0328201
"Schneider Helmut";"Der Einfluss der Steuern auf die unternehmerischen Investitionsentscheidungen";;235;Druckerzeugnis;10.09.2003;;Haupt-Bibliothek;"CA 129";Tübingen;"J.C.B. Mohr (Paul Siebeck)";1964;;YL7;YL8;YL9;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder-	Allgemeine Steuerlehre, Steuersystem einzelner Länder-	Betriebswirtschaftliche Steuerlehre";"hsg duplicate";0991287;0242670
"Lueg Friedrich Wilhlem";"Die Einkommensteuerüberwälzung und ihre Probleme - ein dogmengeschichtlicher Abriss";;120;Druckerzeugnis;"02.03.2004 11:28";"Dissertation der Uni Freiburg Ue";Haupt-Bibliothek;"SC 103";Fribourg;Universität;1965;;SC;;;Steuerausweichung;Steuerüberwälzung;;"hsg duplicate";0991292;0358636
"Hügle Bernd";"Debt Management und Geldpolitik";;152;Druckerzeugnis;"05.12.2003 08:19";"Inaugural-Dissertation der Universität in Freiburg/Br., 1966";Haupt-Bibliothek;"DA 112";;Maschinenschrift;1966;;YL2;YL7;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Haushaltsaufstellung, -verwaltung und -kontrolle-	Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0991293;0294003
"von Landsberg Georg";Bildungs-Controlling;"3 7910 0600 2";313;Druckerzeugnis;"05.12.2003 08:19";;Haupt-Bibliothek;"EJ 101";Stuttgart;Schäffer-Poeschel;1992;;YQ;;;Wirtschaftswissenschaften;"Spezielle Betriebswirtschaftslehren";;"hsg duplicate";0991298;0047337
"Noth Albert";"Die personelle Einkommensverteilung in der Schweiz 1949 bis 1968";;155;Druckerzeugnis;10.12.2004;"Dissertation der Universität Freiburg in der Schweiz";Haupt-Bibliothek;"AH 142";;Offset;1975;;YV;;;Wirtschaftswissenschaften;"Arbeitnehmerfragen (Labor Economics)";;"hsg duplicate";0991299;0354583
"Mishan E. J.";"Cost-Benefit Analysis-Third Edition";0.04.338099.9;441;Druckerzeugnis;"05.12.2003 08:19";"An Informal Introduction";Haupt-Bibliothek;"BG 117";London;"George Allen & Unwin";1982;;YL7;;;Wirtschaftswissenschaften;"Finanzwissenschaft. Betriebswirtschaftliche Steuerlehre";"Finanzpolitik. Fiscal Policy. Finanzwirtschaft und Finanzpolitik einzelner Länder";"hsg duplicate";0991300;0361989
"Häusler Rudolf";"Die Erfolgsbeteiligung als Mittel zur Vermögensbildung der Arbeitnehmer und ihre gesamtwirtschaftlichen Auswirkungen";;240;Druckerzeugnis;10.12.2004;"Dissertation der Hochschule St. Gallen, Nr. 381";Haupt-Bibliothek;"AH 119";München;UNI-Druck;1970;;YV;;;Wirtschaftswissenschaften;"Arbeitnehmerfragen (Labor Economics)";;"hsg duplicate";0991301;0024010
